MSFT
AAPL
NVDA
GOOGL
GOOG
AMZN
META
AVGO
TSLA
ASML
COST
NFLX
AMD
PEP
AZN
ADBE
LIN
QCOM
TMUS
CSCO
INTU
AMAT
PDD
AMGN
TXN
CMCSA
ISRG
INTC
HON
MU
BKNG
LRCX
SNY
ARM
REGN
VRTX
ABNB
ADP
ADI
PANW
KLAC
MDLZ
SBUX
MELI
SNPS
GILD
CDNS
CRWD
CME
PYPL
CTAS
MAR
WDAY
EQIX
CSX
NXPI
CEG
NTES
ORLY
MRVL
MNST
ROP
COIN
PCAR
CPRT
DXCM
IBKR
MCHP
MRNA
TEAM
AEP
ADSK
KDP
SMCI
FTNT
KHC
ROST
TTD
PAYX
LULU
DDOG
ODFL
JD
IDXX
BIDU
FAST
CHTR
EXC
CSGP
GEHC
FANG
ACGL
NDAQ
EA
MPWR
TCOM
VRSK
CCEP
CTSH
BKR
BIIB
ON
XEL
FWONA
CDW
TSCO
ANSS
FWONK
GFS
ZS
MDB
DLTR
WTW
FITB
ICLR
LI
EBAY
FCNCO
TROW
RYAAY
TTWO
APP
TW
FCNCA
MBLY
AXON
VOD
WDC
ARGX
KSPI
BNTX
ALGN
NTAP
STLD
PTC
SBAC
MSTR
FSLR
LPLA
HBAN
ENTG
DKNG
WBD
GMAB
ALNY
PFG
ULTA
ZM
ILMN
TER
STX
CINF
COO
ERIE
HOLX
CELH
WMG
NTRS
BGNE
JBHT
ERIC
CHKP
UAL
VRSN
TPG
ZBRA
BSY
HOOD
BMRN
ENPH
OKTA
WBA
SSNC
NTNX
NDSN
AKAM
SWKS
CG
FOXA
EXPE
FOX
NWS
VTRS
NWSA
NBIX
POOL
NICE
TRMB
GRAB
HTHT
HST
LNT
MANH
AZPN
RPRX
GEN
LECO
SKYE
SRPT
LOGI
MORN
ARCC
EVRG
SWAV
DOCU
XP
PAA
PODD
MEDP
TECH
INCY
SIRI
ALAB
JKHY
FLEX
LAMR
GLPI
LKQ
UTHR
CASY
NTRA
EXAS
WING
CHK
TTEK
TXRH
REG
APA
WYNN
EWBC
AFRM
SAIA
DUOL
WWD
CHDN
CART
DOX
RIVN
FFIV
LSCC
BRKR
CYBR
Z
ZG
CHRW
CFLT
PCTY
RGEN
QRVO
ROIV
AAL
MNDY
PARA
ESLT
WFRD
APPF
FUTU
SEIC
BZ
HSIC
PPC
HAS
VKTX
ROKU
MTCH
LNW
GTLB
PARAA
LEGN
LSXMB
OTEX
LSXMA
MKSI
LSXMK
DSGX
OLED
DBX
RGLD
COKE
FIVE
AMKR
GNTX
FTAI
ASND
CERE
MKTX
CZR
MMYT
CROX
CGNX
MIDD
SFM
LBRDA
IEP
MTSI
LBRDK
SOFI
CHRD
CBSH
MASI
UFPI
PCVX
WSC
ETSY
JAZZ
RVMD
CYTK
ALTR
LYFT
HQY
VFS
SPSC
SAIC
FSV
NXT
WIX
ITCI
PAAS
VNOM
CCCS
HCP
LBTYA
LBTYK
ENSG
BPMC
DJT
AGNC
HLNE
ZION
GGAL
AAON
LSTR
LCID
BPOP
CHX
EXEL
MAT
PNFP
NSIT
FYBR
CACC
WTFC
LBTYB
IBRX
LFUS
ZI
IONS
ACHC
QLYS
RMBS
BECN
REYN
BOKF
XRAY
SIGI
ALGM
NOVT
APLS
DRS
GRFS
NXST
NFE
ONB
BILI
OZK
GLBE
FRPT
FCFS
LANC
TENB
RCM
CWST
BBIO
COOP
OPCH
NVMI
LNTH
DOOO
AUR
HALO
PEGA
EEFT
STNE
CIGI
MARA
ITRI
VRNS
IQ
ACT
BCPC
SLM
COLM
MDGL
EXLS
EXPO
CRUS
AVAV
CRSP
SATS
IAC
OLLI
CVLT
MMSI
UBSI
KRYS
FELE
ESGR
VERX
NVEI
NUVL
WIRE
PI
AVT
FFIN
PTEN
FIZZ
VRRM
FRSH
SRCL
UMBF
FIVN
FROG
OMAB
ASO
ALPN
DLO
COLB
BRZE
IMVT
FORM
TMDX
FRHC
CRVL
HWC
BGC
CAR
WEN
LOPE
PECO
BLKB
ALKS
IPGP
SYM
VLY
CNXC
SLAB
POWI
ALVO
IPAR
IOVA
INSM
CSWI
CAMT
BL
RDNT
FLNC
URBN
TFSL
SMPL
ACIW
IBOC
IRDM
CRNX
TIGO
OTTR
TSEM
AEIS
CLSK
ACLS
PAGP
LLYVK
TRIP
LLYVA
SYNA
AXSM
RARE
GT
LIVN
SEDG
NCNO
SANM
ABCB
AXNX
ALRM
RUSHA
JANX
VCTR
RUSHB
DIOD
FTRE
PCH
HCM
SWTX
SBRA
PRCT
XENE
TXG
IESC
MEOH
TRMD
RRR
IRTC
NWL
VC
MLCO
IDYA
CVCO
NWE
UCBI
STRL
WDFC
SHC
SGRY
FULT
SMMT
BHF
FOLD
PYCR
QFIN
PGNY
APGE
ACVA
SKYW
ARWR
IOSP
BANF
LITE
AMED
IMCR
CCOI
AZTA
ARLP
STRA
GOGL
SHOO
GBDC
MGEE
TNDM
PLTK
PLXS
FIBK
OLK
PSNY
MLTX
MQ
QDEL
TCBI
DORM
ACAD
SBLK
CERT
RELY
CRDO
CLDX
GDRX
RPD
MRUS
CALM
ACLX
FHB
ICFI
WSFS
KTOS
SRAD
ROAD
FTDR
RUM
ARCB
MOR
JJSF
MGRC
CATY
HUBG
KLIC
ALKT
RIOT
RYTM
IDCC
NMIH
RUN
GLNG
NEOG
JAMF
GO
LFST
CORT
PTCT
ATAT
SMTC
PSMT
TGTX
AVDX
PATK
AY
ZD
SIMO
PINC
CARG
INDV
NARI
DNLI
FA
ICUI
PTVE
STEP
FLYW
CGON
MYRG
BENF
BATRA
CENTA
CENT
CVBF
EBC
BATRK
VERA
TWST
SNEX
WAFD
LAUR
VCEL
RNW
OSIS
GERN
SANA
APPN
WERN
PDCO
GH
PENN
KYMR
RXST
HELE
LGIH
NTLA
INTA
IART
SFNC
LZ
ARVN
WB
STAA
BLMN
PRVA
FFBC
CMPR
PPBI
CLBT
INTR
INDB
PRGS
ROCK
KROS
PSEC
AGYS
VSAT
GTX
DNUT
PLAY
RCKT
DYN
SONO
SITM
RNA
EGIO
CRTO
PLUS
UPST
DCPH
AMRX
AMPH
ENLT
FRME
SBCF
VECO
ARRY
RXRX
ARDX
VIRT
PLMR
UFPT
MBIN
TOWN
JBLU
RKLB
BTSG
AMBA
YY
HLMN
NEO
VRNT
NAMS
USLM
PZZA
AGIO
GLPG
PAX
POWL
ANDE
ODD
ATEC
AVDL
DRVN
ODP
PAYO
BEAM
TRMK
UCTT
HTLF
MLKN
PLUG
SNDX
EVO
STGW
ARHS
GPCR
FOXF
HPK
EWTX
PLAB
FUSN
BRP
GCMG
ASTH
EXPI
HRMY
NAVI
MGPI
EVCM
TTMI
MYGN
SGML
NBTB
CPRX
NMRK
MRCY
SDGR
SPNS
NWTN
CAKE
UPWK
HEES
ENVX
SUPN
ZLAB
AFYA
VIAV
TFIN
PRFT
UPBD
WSBC
NWLI
ACMR
NEXT
IBTX
TBBK
LILA
MXL
XRX
LMAT
GDS
CLBK
LILAK
SPT
TLRY
THRM
INBX
DSGR
CNXN
ADUS
HWKN
UDMY
PRDO
NVCR
LKFN
BANR
IAS
ADMA
ROIC
OCSL
KURA
MMAT
NSSC
CENX
HURN
OSW
CHCO
KALU
SHLS
DVAX
OPEN
VCYT
PTGX
GCT
VICR
STER
FWRG
SLNO
SKWD
COCO
TBLA
DAWN
CHEF
MORF
AVPT
AMWD
NVEE
INMD
XNCR
HTZ
EFSC
NMRA
ADV
GSHD
HOLI
EVBG
EXTR
ESTA
MTTR
NTCT
KNSA
MRTN
VIR
ANIP
NWBI
EYE
APOG
COHU
SOUN
DCBO
OMCL
TARS
FBYD
SYBT
AHCO
AKRO
FDMT
CASH
IMKTA
MRX
LGND
WABC
BMBL
BUSE
FBNC
MCRI
VSEC
NMFC
HOPE
CLMT
GIII
GPRE
MGNI
GYRE
SYRE
PLYA
IRWD
ULCC
BLTE
BASE
ANGI
WINA
PWP
PCRX
ALHC
SRCE
ICHR
KFRC
CBRL
TCBK
CRCT
AMPL
PRTA
CSGS
CIFR
HLIT
SRRK
CMCO
DMLP
PDFS
CGEM
OPRA
MIRM
PHVS
VRNA
INFN
STBA
CRSR
COLL
TRVG
PTON
KRUS
MNKD
MRVI
VITL
MOMO
PFBC
ABCL
PUBM
FORTY
SAFT
GOGO
SEAT
EH
BLBD
JBSS
TH
CSWC
ULH
VBTX
ACDC
IMTX
MDXG
EZPW
CSIQ
AILE
SSRM
SCSC
JACK
ADEA
TASK
NRDS
CRAI
TRS
OLPX
PEBO
ELVN
UNIT
RPAY
GTI
BCYC
QNST
HIBB
SLN
IMOS
ALGT
CRON
SP
NN
SVC
TILE
ATRC
ECPG
GSM
SCHL
SASR
MFIC
INDI
TRNS
EYPT
CVII
VRDN
PRAA
SABR
SGH
LQDA
MGNX
QCRH
LAB
AMRK
INVA
OCUL
SAVA
GABC
MSEX
NYAX
SPRY
SCVL
TYRA
RILY
CNTA
SLP
PRAX
CGC
DGII
WEST
CPLP
RLAY
HIMX
ARQT
BCRX
ABVX
OCFC
RBCAA
OPK
AMSF
XMTR
NKLA
GDEN
EU
XPEL
TCPC
KARO
PCT
MATW
CGBD
PTLO
LESL
ETNB
ATSG
